Application,Status,Radar Segment,Impacted by Phoenix,Primary CGL,Original Environment (column to be deleted),Environment,Location,Function,Function Description,Category,AI Enabled,Platform Description,Retirement (This column to be deleted),Lifecycle,Trajectory,Action,Initial Action Timeline,Complete Action Timeline,Bridge Required ,New Platform,New Sub-Module/Application,Comments,Solution Details,Primary SI,Primary Architect,App Owner,Original Tab (for reference),"Found in ""Enterprise Application Inventory""","Found in ""Application Inventory SharePoint""?"
RedCat,6. Not an App,Enterprise,N,HR,,Corp,Fab1,HR,,,,Compensation management,,EOL,,,,,,,,Redcat funcionality was moved into Workday (2025),,,Peter Beyer,Sagar,Enterprise,,
SAP/Payroll,2. WIP,Enterprise,N,HR,,Corp,Fab1,HR,,,,Employee payroll management,,Nearing EOL,Retire,,,,,,,Currently support until 2027 + Extended Support until 2030,,,Peter Beyer,Prakash,Enterprise,,
Sumtotal LMS,2. WIP,Enterprise,N,HR,,Corp,Global,HR,,,,Cloud service SumTotal Learning Management System,,Current,Hold,,,,,,,,,,Peter Beyer,Prakash,Enterprise,,
Taleo,6. Not an App,Enterprise,N,HR,,Corp,Global,HR,,,,Oracle Taleo cloud service for HR recruiting and onboarding functions,,EOL,,,,,,,,Taleo had been retired in 2022 ,,,Peter Beyer,Sagar,Enterprise,,
Willis Towers Watson* ,2. WIP,Enterprise,N,HR,,Corp,USA,HR,,,,Benefits - Yearly Enrollment Management,,Current,Hold,,,,,,,,,,Peter Beyer,Prakash,Enterprise,TRUE,TRUE
ADP Payroll IND,2. WIP,Enterprise,N,HR,,Corp,IND,HR,,,,Payroll service for India employees,,Current,Hold,,,,,,,Finance moved India payroll services from Ramco to ADP India in 2024.,,,Peter Beyer,Prakash,Enterprise,,
Broadbean,2. WIP,Enterprise,N,HR,,Corp,Global,HR,,,,Recruiting Job offer/job board aggregation service,,Current,Hold,,,,,,,,,,Peter Beyer,Prakash,Enterprise,,
d3 ePfile by D.velop (HR),2. WIP,Enterprise,N,HR,,Corp,Fab1,HR,,,,Electronic employee file/Archive/DMS used in Fab1,,EOL,Replace,,,,,,,"Current version is out of date, upgrade or replacement needed. We should look into OpenText.",,,Peter Beyer,Prakash,Enterprise,,
EdAssist,2. WIP,Enterprise,N,HR,,Corp,USA,HR,,,,EdAssist is an educational assistance program to provide tuition benefits and educational opportunities for working professional,,Current,Hold,,,,,,,,,,Peter Beyer,Prakash,Enterprise,,
Eskalera,2. WIP,Enterprise,N,HR,,Corp,USA,HR,,,,"Training service for diversity, equity, and inclusion (DEI) in the workplace. ",,Current,Hold,,,,,,,,,,Peter Beyer,Prakash,Enterprise,,
Fidelity*,2. WIP,Enterprise,N,HR,,Corp,Global,HR,,,,Stock Plan management,,Current,Hold,,,,,,,,,,Peter Beyer,Prakash,Enterprise,,
Firstup,2. WIP,Enterprise,N,HR,,Corp,Global,HR,,,,aka Social Chorus aka GF-Current = company news communication platform,,Nearing EOL,Assess,,,,,,,"Contract end is near. We should look into MS Viva product line or Sharepoint, etc.",,,Peter Beyer,Prakash,Enterprise,,
Flowmium,2. WIP,Enterprise,N,HR,,Corp,Fab1,HR,,,,Employee reference letter generator,,Current,Hold,,,,,,,Introduced in 2024,,,Peter Beyer,Prakash,Enterprise,,
HireRight,2. WIP,Enterprise,N,HR,,Corp,USA,HR,,,,Candidate Background Check Service used in APAC,,Current,Hold,,,,,,,,,,Peter Beyer,Prakash,Enterprise,,
ITMS,2. WIP,Enterprise,N,HR,,Corp,SGP,HR,,,,Time tracking and claims request tools used in SGP,,EOL,Retire,,,,,,,This should be covered by Workday functionality,,,Peter Beyer,Prakash,Enterprise,,
Lincoln Financial Services*,2. WIP,Enterprise,N,HR,,Corp,USA,HR,,,,"Employee benefits and leave provider, used in USA",,Current,Hold,,,,,,,Introduced in 2024,,,Peter Beyer,Prakash,Enterprise,,
Navex,2. WIP,Enterprise,N,HR,,Corp,Global,HR,,,,Provider for whistleblower hotline and helpline through  (EthicsPoint),,Current,Hold,,,,,,,,,,Peter Beyer,Prakash,Enterprise,,
Payscale,2. WIP,Enterprise,N,HR,,Corp,Global,HR,,,,Compensation benchmark provider,,Current,Hold,,,,,,,PayScale and Payfactors merged in 2021,,,Peter Beyer,Prakash,Enterprise,,
Steele Global,2. WIP,Enterprise,N,HR,,Corp,Global,HR,,,,"Ethics & Compliance Platform, HR Policy Management",,Current,Hold,,,,,,,,,,Peter Beyer,Prakash,Enterprise,,
Sterling Check,2. WIP,Enterprise,N,HR,,Corp,USA,HR,,,,"Sterling Check, is a leading global provider of background screening",,Current,Hold,,,,,,,,,,Peter Beyer,Prakash,Enterprise,,
Virgin Pulse,2. WIP,Enterprise,N,HR,,Corp,USA,HR,,,,Platform of employee well-being and engagement.,,Current,Hold,,,,,,,,,,Peter Beyer,Prakash,Enterprise,,
Datamart ASMView,3. GTO Done,Manufacturing,Yes,M2O,Corp,Prod,Global,Post Fab,AsmView-BB Reporting,Data & Analytics,No,Datamart for ASMView-BB manufacturing report service,R6,Nearing EOL,Retire,1:0 - retirement,Q1'27,Q4'28,,PDFS,SMH,,,,Peter Goerigk,"Venkatachalam, Ramadurai","Enterprise, Manufacturing, Technology & IT",TRUE,TRUE
SiView Scheduler,3. GTO Done,Manufacturing,Yes,M2O,,Prod,Fab7,FAB,Start & Change Production Orders in SiView,Manufacturing,No,,R6,Nearing EOL,Replace,1:0 - retirement,Q1'27,Q4'28,,SAP S4,M2O,,,,Peter Goerigk,Jianjun Xiao,"Manufacturing, Technology & IT",,
BESS (on IBM MVS) - removed,3. GTO Done,Manufacturing,No,Legacy,"Corp, Fab9",Prod,Fab9,Manufacturing,Equipment Management,Manufacturing,No,Burlington Equipment Support System,,EOL,Retire,1:0 - retirement,,,No,SiView & FOD,,Removed in 2022,,GF,Jeff Hanan,Tobin Clough,"Enterprise, Manufacturing, Technology & IT",,
XOAK-F1,3. GTO Done,Manufacturing,No,Manufacturing,"Corp, Fab1",Prod,Fab1,Manufacturing,Run Path Anlyzer (Fab1),Manufacturing,No,JBOSS SEAM app,,Legacy,Assess,,,,,,,No Change,,,Detlef Pabst,Irina Sudnik,"Manufacturing, Technology & IT",TRUE,TRUE
ARC,3. GTO Done,Manufacturing,No,Fab Setup,"Corp, Fab7",Corp,Fab7,Manufacturing,Setup,Manufacturing,No,Auto Recipe Creation by F7 YE Congshu Zhou,,Current,Assess,N:1 - consolidation,,,,MRA,,"can potentially be replaced by MRA, needs assessment",,,Klaus Wiedemuth ,Congshu Zhou,"Manufacturing, Technology & IT",TRUE,TRUE
ECM,3. GTO Done,Manufacturing,TBD,Fab Setup,"Corp, Fab1, Fab8",Prod,"Fab1, Fab8, Fab9",Manufacturing,Setup,Manufacturing,No,Engineering Change Management,,Current,,,,,,,," Integration with SAP S4 EAM, TC",,,Klaus Wiedemuth ,Raghavendra Rudrappa,"Manufacturing, Technology & IT",TRUE,TRUE
EMS,3. GTO Done,Manufacturing,No,Fab Setup,"Corp, Fab1, Fab8",Prod,"Fab1, Fab8",Manufacturing,Setup,Manufacturing,No,"Experimental Mgt System (EMS) (FabGUI, JBoss)",,Current,Retire,N:1 - consolidation,,,,ECM,,"Functional overlap with ECM, Incorporate into ECM",,,Klaus Wiedemuth ,"Srikanth Kokkirala, Torsten Happ, Klaus Wiedemuth","Manufacturing, Technology & IT",TRUE,TRUE
HyperRMS,3. GTO Done,Manufacturing,No,Fab Setup,"Corp, Fab7",Corp,Fab7,Manufacturing,Recipe Management GUI,Manufacturing,No,In house developed RMS GUI,,EOL,Retire,1:0 - retirement,2023,2023,,,,"Not in use, since migrated to CAMLine LineWorks v 6.0",,,Jimmy Goh,Zheng QingYu,"Manufacturing, Technology & IT",TRUE,TRUE
GIGA SPSR,3. GTO Done,Manufacturing,No,Fab Setup,"Corp, Giga",Prod,Giga,Manufacturing,Experimentation Mgt,Manufacturing,No,Special Processing Step Request (like EMS),,Current,Hold,no change,,,,,,From Sumeet: App is heavily used.  Not in Phoenix scope.,,,Jimmy Goh,Sumeet,"Manufacturing, Technology & IT",TRUE,TRUE
iRoute / eRoute,3. GTO Done,Manufacturing,No,Fab Setup,"Corp, Fab7",Prod,Fab7,,,,,need to add for cost/servers/dev/run,,,Retire,1:0 - retirement,Q1'26,Q4'26,,ECM,,Migrate / Consolidate into ECM,,,Jimmy Goh,Jeffrey Chong,"Manufacturing, Technology & IT",TRUE,TRUE
RequestExpress,3. GTO Done,Manufacturing,No,Fab Setup,"Corp, Fab1, Fab7, Fab8",Corp,"Fab1, Fab7, Fab8, Fab9",Manufacturing,Setup,,No,"Host for many workflow applications for operations and development: CRs, MSR, WRRs, WSRs.AR, UAR, etc.",,EOL,Replace,N:1 - consolidation,Q1'25,,,Service Now,," Partial (Some of the flow will need to move to SAP S4 and other will move to Service Now and rest will remain as is), No Change",,,Klaus Wiedemuth ,Noel Rives,"Manufacturing, Technology & IT",TRUE,TRUE
iSPSR,3. GTO Done,Manufacturing,No,Fab Setup,"Corp, Fab7",Prod,Fab7,,,,,Special Processing Step Request (like EMS),,,Retire,1:0 - retirement,Q1'26,Q4'26,,ECM,,Migrate / Consolidate into ECM,,,Jimmy Goh,Jeffrey Chong,"Manufacturing, Technology & IT",TRUE,TRUE
Promis,3. GTO Done,Manufacturing,Yes,Fab Setup,"Corp, Giga",Prod,Giga,Manufacturing,,,, Promis MES,,Current,Hold,no change,,,,,," Integration with SAP S4 EAM, PDFS SMH (look alike SiView to common S4 data model and process)",,,Jimmy Goh,Shin Yit,"Manufacturing, Technology & IT",TRUE,TRUE
RMS-(CAMLINE),5. Duplicate App,Manufacturing,No,Fab Setup,"Corp, Giga",Prod,Giga,Manufacturing,Setup,Manufacturing,No,Recpie management system,,Current,,,,,,,,No Change,,,Klaus Wiedemuth ,Amol Patil,"Manufacturing, Technology & IT",TRUE,TRUE
RMS Camline,3. GTO Done,Manufacturing,No,Fab Setup,"Giga, Fab1, Fab8",Prod,"Giga, Fab1, Fab8",Manufacturing,Setup,Manufacturing,No,RMS (Recpie management system) for process tools,,Current,,,,,,,,No Change,,,Klaus Wiedemuth ,Amol Patil,"Manufacturing, Technology & IT",,
WEB CHK,1. Not Started,,Delete,Fab Setup,"Corp, Fab9",Corp,Fab9,,,,, Check application for product and fab data merger,,,,,,,,,, No Change,,,,Barry Smith,"Manufacturing, Technology & IT",TRUE,TRUE
RS REQUEST SYSTEM,3. GTO Done,Manufacturing,No,Fab Setup,"Corp, Fab1, Fab8",Corp,"Fab1, Fab8",Manufacturing,Request System,Manufacturing,No,Reqest system for recipe setup,,Current,,,,,,,,"No Change, may become obsolete if business decides",,,Klaus Wiedemuth ,Amol Patil,"Manufacturing, Technology & IT",TRUE,TRUE
RVA,3. GTO Done,Manufacturing,No,Fab Setup,"Corp, Fab8",Corp,Fab8,Manufacturing,Setup,Manufacturing,No,Route Validation Agent. This application will be moved to ECM. The assessment was done as part of ECM project initiative. Therefore no details are collected to save time.,,EOL,Retire,N:1 - consolidation,,,No,ECM,,Incorporate validations into ECM,,GF,Klaus Wiedemuth ,Lakshmi Maddali,"Manufacturing, Technology & IT",TRUE,TRUE
RVA2,3. GTO Done,Manufacturing,No,Fab Setup,"Corp, Fab1",Corp,Fab1,Manufacturing,Setup,Manufacturing,No,Route Validation Agent. This application will be become obsolete once F1 fully utilized ECM Route Copy capabilities,,EOL,Retire,N:1 - consolidation,,,,ECM,,Incorporate validations into ECM,,,Klaus Wiedemuth ,,"Manufacturing, Technology & IT",TRUE,TRUE
EOPO App,5. Duplicate App,,Delete,Fab Custom,Corp,Corp,,,,,,Engineering Order and Production Order,,,,N:1 - consolidation,,,,,,,,,Sumeet Sharma,Sumeet Sharma,"Manufacturing, Technology & IT",TRUE,TRUE
iTest App,5. Duplicate App,,N,Fab Custom,Corp,Corp,,,,,,Inline Test program,,,,,,,,,,,,,Sumeet Sharma,Sumeet Sharma,"Manufacturing, Technology & IT",TRUE,TRUE
Metrology App,1. Not Started,,N,Fab Custom,Corp,Corp,,,,,,Capturing and tracking calibration data,,,,,,,,,,,,,Sumeet Sharma,Sumeet Sharma,"Manufacturing, Technology & IT",TRUE,TRUE
MSRF,1. Not Started,,N,Fab Custom,Corp,Corp,,,,,,Machine Shutdown and Release Form,,,,,,,,,,,,,Sumeet Sharma,Sumeet Sharma,"Manufacturing, Technology & IT",,
YDD Issue Track App,1. Not Started,,N,Fab Custom,Corp,Corp,,,,,,Yield Defect Density,,,,,,,,,,,,,Sumeet Sharma,Sumeet Sharma,"Manufacturing, Technology & IT",TRUE,TRUE
RVS,3. GTO Done,Manufacturing,No,Fab Setup,"Corp, Giga",Corp,Giga,Manufacturing,Setup,Manufacturing,No,Recipe Validation System for metrology CD & Overlay tools in GIGA,,Current,Hold,no change,,,,,,No Change.  Myla Terredano said Zhou Jun Cheng is App owner,,,Jimmy Goh,Zhou Jun Cheng,"Manufacturing, Technology & IT",TRUE,TRUE
Setup.fc,3. GTO Done,Manufacturing,No,Fab Setup,"Corp, Fab1, Fab8",Prod,"Fab1, Fab7, Fab8",Manufacturing,Setup,Manufacturing,No,"Manufacturing Specification & Workflow System - Alfresco (License Yearly Subscripion), master data users setup platform for PCL, APC, RTD, MDS/jCAP, CMMS, FDC, SPC/SIL, SiView etc ...",,Nearing EOL,Invest ,,Q4'25,Q4'26,No,,,consolidate/redefine scope and migrate to cloud and modernize,,,Klaus Wiedemuth ,Tim Boerner,"Manufacturing, Technology & IT",TRUE,TRUE
SIVIEW-SM+,3. GTO Done,Manufacturing,No,Fab Setup,"Corp, Fab1, Fab7, Fab8",Prod,"Fab1, Fab7, Fab8",Manufacturing,Setup,Manufacturing,No, Specification manager plus,,Legacy,Retire,N:1 - consolidation,,,No,ECM,,Incorporate automation use cases into into ECM,,,Klaus Wiedemuth ,Daniel Steger,"Manufacturing, Technology & IT",TRUE,TRUE
SPSR,5. Duplicate App,Manufacturing,No,Fab Setup,Corp,Corp,,,,,,Special Processing Step Request (like EMS),,,,,,,,,,,,,Klaus Wiedemuth,,"Manufacturing, Technology & IT",,
ePM Checklist,3. GTO Done,Manufacturing,No,Fab Custom,Corp,Corp,Giga,,Used for TD and eTest equipment maintenance,,,Web-based equipment preventive maintenance checklist,,,,N:1 - consolidation,,,,SAP PM,,To be moved to SAP PM,,,Gopal,Sumeet Sharma,"Manufacturing, Technology & IT",TRUE,TRUE
EPPM-F1,3. GTO Done,Manufacturing,No,"Equipment Management, IE Apps","Corp, Fab1",Prod,Fab1,Manufacturing,Equipment Management,Manufacturing,No,"Equipment and Process Performance Monitoring and Reporting app, EngRepDB",,Current,Assess,no change,,,No,,, Integrate with SAP S4 EAM,,GF,Jeff Hanan,Hardy Schumacher,"Manufacturing, Technology & IT",TRUE,TRUE
ADAPT (Automated Data Acquisition Planning Tool),3. GTO Done,Manufacturing,No,Equipment Management,"Corp, Fab1, Fab8",Corp,"Fab1, Fab8",Manufacturing,setup tool for data collection plans,,No,Data Collection Management Application,,Nearing EOL,Assess,no change,,,,,,No Change,,,Torsten Happ,Matthias Petermann,"Manufacturing, Technology & IT",,
ALARM OCAP / HYPERCMD,3. GTO Done,Manufacturing,No,Equipment Management,"Corp, Fab1, Fab7, Fab8",Corp,"Fab1, Fab7, Fab8",Manufacturing,"alarm handling tool, focus on tool alarms",,No,Equipment Management,,Current,Invest ,no change,,,,,,No Change,,,Torsten Happ,By Fab,"Manufacturing, Technology & IT",TRUE,TRUE
ARMOR,3. GTO Done,Manufacturing,No,Equipment Management,"Corp, Fab1, Fab8",Corp,"Fab1, Fab8",Manufacturing,"legacy context base object store, use for TDM, TDC, DCC, DCP",,No,Recipe Management Object Repository,,Current,Invest ,no change,,,,,,No Change,,,Torsten Happ,Matthias Petermann,"Manufacturing, Technology & IT",TRUE,TRUE
BMQ,3. GTO Done,Manufacturing,Delete,Equipment Management,"Corp, Giga",Prod,Giga,Manufacturing,,,,Message Queue,,,Hold,no change,,,,,,No Change,,,Jimmy Goh,,"Manufacturing, Technology & IT",TRUE,TRUE
Cactus (F9),3. GTO Done,Manufacturing,No,Equipment Management,"Corp, Fab9",Prod,Fab9,"Reporting, Analytics",Equipment Productivity Management,Data & Analytics,No,"Tool state, lots and a by shift summary running on SAS",,Legacy,Retire,1:N - replacement,Q4'25,Q4'26,No,"TBD, D3",D3,App owner plans to retire. Potentially FPS Digital Twin,,GF,Jeff Hanan,John Fournier,"Manufacturing, Technology & IT",TRUE,TRUE
CEI,3. GTO Done,Manufacturing,No,Equipment Management,Fab1,Prod,"Fab1, Fab8",Manufacturing,equipment integration suite,,No,Configurable Equipment Integration (EI),,Nearing EOL,Assess,no change,,,,,,"Integrate with SAP S4 EAM, framework assessment needed ",,,Torsten Happ,"Uwe Liebold, Mark Reiche, Jack downey, Jeffrey Wood, Jeff Hanan","Manufacturing, Technology & IT",,
CHECKERS,3. GTO Done,Manufacturing,No,Equipment Management,"Corp, Fab9",Prod,Fab9,Manufacturing,Process Management,Manufacturing,No,Process Control,,Current,Hold,no change,,,No,,,No Change,,GF,Jeff Hanan,John Smyth,"Manufacturing, Technology & IT",TRUE,TRUE
ECENTRE (secureWISE),3. GTO Done,Manufacturing,No,Equipment Management,"Corp, Fab1, Fab7, Fab8, Fab9, Giga",Corp,"Fab1, Fab7, Fab8, Fab9, Giga",External Collabortation,"Internal tool access, remote OEM tool access",Manufacturing,No,Secured remote connections to EQ in the clean room,,Current,Invest ,no change,,,,,,No Change,,Telit/PDF,Torsten Happ,Josh Haynes ,"Manufacturing, Technology & IT",,
ECMS (EQPT CONSTANT MGMT SYSTEM),3. GTO Done,Manufacturing,No,Equipment Management,"Corp, Fab7",Corp,Fab7,Manufacturing,equiment constant management,,No,Equipment Constant Management,,Legacy,Assess,no change,,,,,,No Change,,,Torsten Happ,,"Manufacturing, Technology & IT",TRUE,TRUE
EETOOLBOX,3. GTO Done,Manufacturing,Yes,Equipment Management,"Corp, Fab8",Prod,Fab8,Manufacturing,Equipment Management,Manufacturing,No, Equipment Engineer Tool Box,,Current,Hold,N:1 - consolidation,Q1'28,Q4'28,No,SAP S/4 HANA,EAM,GF developed equipmennt management monitoring and reporting Replace with SAP S4 EAM,,GF,Jeff Hanan,Ryan Sommers,"Manufacturing, Technology & IT",TRUE,TRUE
EI,5. Duplicate App,Manufacturing,No,Equipment Management,"Corp, Fab8",,Fab8,,,,,Equipment Integration,,,,,,,,,,,,,Torsten Happ,,,TRUE,TRUE
EIM,3. GTO Done,Manufacturing,No,Equipment Management,"Corp, Giga",Prod,Giga,Manufacturing,Equipment integration ,Manufacturing,No,Equipment Integration: CAMLine eCOFrame,,Current,Hold,no change,,,,,, Integrate with SAP S4 EAM,,,Jimmy Goh,Leong Chee Wai,"Manufacturing, Technology & IT",TRUE,TRUE
ENGREP,3. GTO Done,Manufacturing,No,Equipment Management,"Corp, Fab1",Prod,Fab1,Manufacturing,"Engineering reporting database. Main client is EPPM. Cluster setup used for thp prediction witin RTD
EngRep database stores several kinds of reporting data. It is data basis for EPPM too.",Manufacturing,No,Oracle DB and JAVA apps,,Legacy,Assess,,,,,,,No Change,,,Detlef Pabst,Jeffrey Chong,"Manufacturing, Technology & IT",TRUE,TRUE
EPASSDOWN,3. GTO Done,Manufacturing,No,Equipment Management,"Corp, Fab7, Giga",Corp,"Fab7, Giga",,,,,Module Pass Down,,,Retire,1:0 - retirement,Q1'28,Q4'28,,SAP S4,EAM,Replace with SAP S4 EAM,,,Jimmy Goh,Jeffrey Chong,"Manufacturing, Technology & IT",TRUE,TRUE
EPM (checklist),3. GTO Done,Manufacturing,No,Equipment Management,"Corp, Giga",Corp,Giga,,,,,"Parts Management Center, ePM",,,Retire,1:0 - retirement,Q1'28,Q4'28,,SAP S4,EAM, Replace with SAP S4 EAM,,,Jimmy Goh,Jeffrey Chong,"Manufacturing, Technology & IT",TRUE,TRUE
EPPM,3. GTO Done,Manufacturing,No,Equipment Management,"Corp, Fab1, Fab8",Prod,"Fab1, Fab8","Reporting, Analytics",Equipment Management,Data & Analytics,No,"Equipment and Performance Monitoring, EngRepDB, Equipment Performance Monitoring, EngRepDB
EPPM is a reporting tool for analysis of historical equipment and process performance. It provides overall equipment efficiency (OEE) related information for determining availability, utilization, scheduled and unscheduled maintenance time, and other similar measures. OEE Visualization.",,Current,Hold,no change,,,No,,, Integrate with SAP S4 EAM,,GF,Jeff Hanan,"Hardy Schumacher, James
DeLong","Manufacturing, Technology & IT",TRUE,TRUE
ESP,3. GTO Done,Manufacturing,No,Equipment Management,"Corp, Fab9",Corp,Fab9,Manufacturing,Equipment Interface,Manufacturing,No, Equipment superviser program,,Current,Hold,no change,,,No,,,No Change,,,Jeff Hanan,Glen Duclos/EI team,"Manufacturing, Technology & IT",TRUE,TRUE
LOGICNETS / ECAP / FabRecover,3. GTO Done,Manufacturing,No,Equipment Management,"Corp, Fab9",Prod,Fab9,Manufacturing,Equipment Management,Manufacturing,No,"FAB Recover, a product from Inficon, using LogicNets",,Current,Assess,N:1 - consolidation,Q1'27,Q4'28,No, SAP S/4HANA,EAM," Integrate with SAP S4 EAM, and/or replace with S4H and OpenText",,Inficon,Jeff Hanan,"Alec Kurek, Ben Broe, Mike Premsager, Carole Parent ","Manufacturing, Technology & IT",,
Mobisys,3. GTO Done,Manufacturing,"Delete, Y",Equipment Management,Fab1,,Fab1,,,,,"Mobile Scanning solution for shipping, Solution for SAP MCM and MSB",,Current,Assess,,,,,?,,"9/22 peter: unknown if this can be retired in release 5
Plan is to retire in release 5 with SAP S4 EAM",,,Jeff Hanan,,"Manufacturing, Technology & IT",,
PMC,1. Not Started,Enterprise,Delete,Equipment Management,"Corp, Fab7, Giga",Corp,"Fab7, Giga",,,,,Part Management System for managing of parts used for equipment maintenance activity & tracking of parts life.,,,,,,,,,, Replace with SAP S4 EAM,,,,Lim Leh Han,"Manufacturing, Technology & IT",TRUE,TRUE
MCM and BARCODE INTERLOCK,3. GTO Done,Manufacturing,Yes,Equipment Management,"Corp, Fab1, Fab8, Fab9",Prod,"Fab1, Fab8, Fab9",Manufacturing,Material Quality Management,Manufacturing,No,"Parts & Materials Management, Material connection management",,Current,Replace,N:1 - consolidation,Q1'27,Q4'28,No, SAP S/4HANA,EAM, Replace with SAP S4 EAM,,GF,Jeff Hanan,Sanjeev,"Manufacturing, Technology & IT",,
MDS,3. GTO Done,Manufacturing,No,Equipment Management,"Corp, Fab1, Fab7, Fab8",Prod,"Fab1, Fab7, Fab8",Manufacturing,manufacturing data store - real time,Manufacturing,No,"Manufacturing Data Store (Golden gate), Data Integration to FabGUI, AutoProc/RTD/jCAP etc systems",,Current,Invest ,no change,,,,,," Integration with SAP S4 EAM, SCM",,,Torsten Happ,Jeffey Chong,"Manufacturing, Technology & IT",TRUE,TRUE
